BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100651432	2	4	2	1	2.00044	3	1	0	5	4	1	1
LOC100651433	1081	2804	1180	1346	843	276	4735	772	568	803	458	454
LOC100651434	9253.52	10270.7	8778.13	7850.07	7995.08	9053.01	9479.16	7856.15	8770.03	8262.19	6428.52	7345.95
LOC100651435	462	564	561	609	420	393	597	473	453	463	328	411
LOC100651436	912.5418	1217.57354	1061.74958	983.135	962.608	1106.6904	1159.3347	1039.3242	905.7811	833.9749	804.9556	938.9605
LOC100651437	692.79741	1242.99976	705.5239	927.99965	766	1007.99939	1118.5781	774.0003	789.0003	663.0005	748	760.9995
LOC100651438	224.24672	128.11108538	122.2341	112.05719	153.12513	194.56978	91.344447812	166.310501	130.18828	133.438585	113.11341	148.18725
LOC100651439	1767.509	1574.644	1484.153	1340	1148	1247.376	1535.79	1444	1131	1118.023	1099.195	1158
LOC100651440	807	1093	1176	838	710	832	900.787	870	673	655	688	846
LOC100651441	388	507	500	486	409	428	515	451	438	424	395	441
LOC100651442	1265.1296	1498	1141.097	1157.0003	1245.0003	1258.0003	1699.2894	1255.9993	1020.2444	901.1266	840.0003	1079.9995
LOC100651443	897.9998	957.9999	819.9998	796.0001	740.0001	697.9997	961.9997	757.9996	621.9996	633.0004	598.9999	656.0001
LOC100651444	495.9998	429.000400099937	386.13901	304.9997	327.9998	292	442.99951	384.153896	318.0002	356.9994	227	347.999676104
LOC100651445	2432.001	1914.9967	2062.999	1739.9989	1632.995	1706.9957	1715.9964	1821.9957	1567.997	1910.001	1228.0001	1176.0011
LOC100651446	6505.0008	8919.002	5084.999	6973.007	5185.002	5507.0033	4887.9952	5889.0005	7207.0004	3987.0060001543	6216.9978	4685.0074
LOC100651447	394.1192	428.853	457.1462	413.7296	377.156400203918	385.3282	557.0328	377.6848	268.1299	425.5824	271.55775127	300.1435
LOC100651448	1400	1592	1528	1312.001	1169.999	1354	1683	1114.001	1131	1041	1013.9998	1246
LOC100651449	497	665	683	609	438	555	551	569	475	489	423	475
LOC100651450	120.3503483622	194.99964	233.9997	136.3497	105.0001	139.00002	140.99999	95.00005	155.99993	138.00003	103.00005	128.29888
LOC100651451	1283.843	1159.999	1175.9998	1041.999	1049.9996	1001	1428	1216	998	1124	721.0005	967.001
LOC100651452	4257	6799	4754	5322	3841	4816	4961	4603	4544	4035	4005	4060
LOC100651453	1161	1317	1283	1141	1000	1253	1460	1084	1001	1058	1013	948
LOC100651454	2219.87	2683.83	2116.55	2493.65	1925.64	2347.77	2438.95	1718.91	2126.45	2090.97	1987.58	1984.46
LOC100651455	2071	1956	1957.0046	1512	1488	1604	2141.9996	1580	1300.0024	1253	1200.0024	1368
LOC100651456	2186.9964	2679.0026	1920.9977	2189.9979	2203.997	2598.003	2848.0007	2393.9978	2239.0028	1775.999	1855.9997	1997.0034
LOC100651457	725	892	650.127	603	615	696	825	609	616	632	521	626
LOC100651458	1017.000232	888.0005	1111.9999	946.9999	739.9996	694.9995352393	877.9999	796.0004	901.9998	1095.0002	618.0005	648.99992
LOC100651459	960	1958	987	1068	880	1352	843	943	1104	620	691	1058
LOC100651460	3	1	2	0	3	3	3	8	3	3	2	1
LOC100651461	125	205	109	112	178	192	245	226	102	149	94	242
LOC100651462	162.126	274.276	286.779	235.233	125.139	150.381	216.315	183.449	184.419	232.375	146.263	159.477
LOC100651463	251.44	214.3184	214.2934	181.2769	163.3238	144.4534	212.1471	173.63	184.8767	238.161	107.982	208.4953
LOC100651464	393.506	522.141	414.573	401.292	335.743	389.225	494.219	349.491	324.675	344.05	355.451	344.366
LOC100651465	1528	1968	1138	976	1135	1413	976	1415	745	519	1402	850
LOC100651466	1103.9991	1141	1192.9993	1062.0011	727.9995	846.0002	1046.9994	867.9998	889.0006	931.0002	718.0001	823.9999
LOC100651467	8	31	11	23	21	21	21	9	21	8	14.00002	26
LOC100651468	614.9999	700.9996	598.9998	650	448	599.0002	721.0001	604.0003	513.9999	569	498.9995	498.0002
LOC100651469	3499.31	3551.572	2966.463	2592.28	2672.3197	2755.4471	3694.029	2775.625	2459.9442	2503.58	2141.331	2616.651
LOC100651470	4	5	0	0	10	4	14	5	5	9	1	4.999999
LOC100651471	4936.92	8769.95	5863.3	5289	4920	5656	4880.09	5075.75	6032.9	4162.94	4000.92	4854.93
LOC100651472	501.741920859	326.71114	290.69010439209	250.03911373973	341.965847	273.75819	415.918731726	406.5143	257.8649	248.296700189983	230.63894	222.0877
LOC100651474	14053.8515	10178.5123	11909.9913	7692.5324	7408.76	5934.3533	9798.3584	7338.8252	8454.5722	8033.9268	6312.4635	6436.9458
LOC100651475	968	913.987	999.849	746.407	744.852	696	803.872	746	624	766.792	640	713.958
LOC100651476	864	1181	881	805	886	1084	1225	865	712	736	940	864
LOC100651477	815.9996	1066.0017	941.7301	862.0005	753.0001	985.9998	1038.5598	858.9996	896.99954	756.9999	739.0002	780.0005
LOC100651478	9	11	12	7	1	9	6	13	9	10	3	6
LOC100651479	855	900	1327	1080	907	1012	1388	995	743	615	626	834
LOC100651480	2477.4383	2696.6286	2341.7553	2197.3357	2123.0071	2211.7326	2656.832	2404.5322	2021.3471	1740.7389	1660.8101	1882.2064
LOC100651482	418.9992	456.99991	339.9998	375.0005	385	386	546.9998	394.99956	403.9997	430.00036	291.00027	357.0008
LOC100651483	470	430	456	371	325	368	471	374	313	346	255	310
LOC100651485	0	1	0	0	0	0	2	2	0	0	0	0
LOC100651486	1	1	3	1	2	0	4	0	1	1	1	1
LOC100651487	74	131	86	103	66	95	83	66	49	63	59	53
LOC100651488	2300	2824	2754	2522	2087	2313	2873	2248	2029	1779	1657	2088
LOC100651489	1924.996	1960.005	1956.999	1741.001	1616.997	2042	2108.001	1669.002	1446	1335	1360	1650.003
LOC100651490	406.0004	673	483	504	400.9999	485.9999	500	460.0005	454	380	413.9999	422.9995
LOC100651492	1160.0004054441	1089	1060.0002	936.0007	883.9998505	1005.9992	1223.9998	842	747.0004	713.99995	849.9995632	705.9995
LOC100651494	2571.418201038	2376.7184	1874.44027193	1735.45672297	1856.5924754983	2030.0610663	2521.7885	1892.59670682275	1816.537139102	1973.1428	1581.3671868	1591.265009
LOC100651495	1582.3312	1352.821	1504.4037	1191.547	963.912	989.44100163526	1177.67	1277.098	958.837	984.4809	613.4051	873.6617
LOC100651496	747.5892	842.90500545	653.8739155	793.82862	716.3412	796.85911	1024.14133	772.91724	654.2043	613.5252	480.474	619.6369
LOC100651497	1157	1219	975	840	943	1085	1049	897	973	915	799	725
LOC100651498	22273	12029	17859	14574	13067	13552	16826	15526	13991	11511	8148	10365
LOC100651499	721.0004	773.9994	634.9997	557.0005	589.9997	570.00009	572.0001	525.00019	629.9998	541.00008	499	462
LOC100651500	631.9999	1604.9965	1082.9996	987.9996	1141.00343	1879.9993	858.00038	1365.9956	1017.0004	535.99987	1297.00052	1699.9976
LOC100651502	79	97	42	42	41	16	41	59	41	36	38	69
LOC100651503	1236	1225	1226	1047	1046	1080	1369	1064	973	1133	850	903
LOC100651504	2280	3683.99	2736.99	2903	2214	2562.99	3108	2413.99	3063.98	2624	2487	2488.99
LOC100651505	43.99998	120	73.00006	64.00008	54	60	48	44.21384	43.0000321838	38.00005	59	79
LOC100651506	818.9996	983.9995	770.0001	780	568.0004	757.9999	863.9993	621.0007	648.9993	627.0004	669.9993	611.9998
LOC100651507	2832.7328	3302.0633	2888.2741	2794.1773	2187.68504	2727.4402	2295.5542	2206.9061	2160.9317	2138.0889	1860.2751	2196.00293
LOC100651508	390.00087	459.0004	355.9999	331.9996	318	355.9997	518.9997	330.0002	294	258.0003	202.9998	318.99955
LOC100651509	3153.97	2414.954	2562.9936	1727.981	2720.991	3039.8726	2107.9492	3887.963	1560.9985	1487.959	1598.9871	1503.9963
LOC100651510	934	1256	797.069	965.978	826.163	1072	1366	801.93	855	954.127	1064	875
LOC100651511	2058.99963597	2446.0007825945	1899.99740006193	1776.00436374	1774.004103942	2025.003829828	2636.0018	1605	1527.0002	1776.99610230003	1878.00100017336	1658.0017
LOC100651512	64	54	62	59	47	50	47	63	51	65	18	59
LOC100651513	543.0001	777	575.0005	617.0002	413.0005	560.9996	708.9995	555.0003	483.0005	558	518.0002	553.9998
LOC100651514	1628.0009	1828.997	1684.997	1356.001	1296.003	1374.0002	1889	1316.005	1239.996	1367.004	1083.0002	1258.9976
LOC100651515	534.9995	764.0002	620.0004	650	470.9995	563.9997	756	474.0001	425	519.0001	490.9999	516.9999
LOC100651516	508	576.9997	549.0001	468.99985	349.0003	364.0001	428	441.9997	378.00038	404.9999	349.9997	441.9997
LOC100651517	10739.937	10553.724	8871.222	8486.494	9436.505	8484.532	10165.906	10706.892	8753.842	5861.355	5776.545	7735.768
LOC100651518	1313.0048	895.9995	896.9997	654.0001	682.9998	677	570.9996	1004.9996	859.9999	665.9998	393.9523	563.9057
LOC100651519	2748.99979	2696.9958	2503.9974652534	2311.997311	2137.00100002035	2522.0012	2372.004	2847.995	1867.99977	1900.9537	1943.0002023561	1926.97936267
LOC100651520	1033	1810	1049	970	852	1150.33	800	1044.32	940	622	705	1116
LOC100651521	2293	6476	3574	4788	3337	4099	3725	3466	3832	2500	3630	3598
LOC100651522	2133.004	2132.0048	2258.9997	1995.004	1733.99730121	1655.0036	2596.9975	1776.0011	1745.9963	1929.9969	1374.0036204542	1457.99801
LOC100651523	178.9996	253.0001	210.9999	239	209.9997	252	336	147	181.0002	242	246.9998	169.0002
LOC100651524	4672.271	7355.333	6138.186	6331.707	5682.248	7032.321	5810.071	6050.147	4997.51	4154.105	5884.692	6886.718
LOC100651525	273.0002	226	245	216	187.9997	174.9999	251.9996	215	199.9998	225	146.0003	194.0004
LOC100651526	2445.86	3277.45	2910.01	2745.5	2314.82	2597.64	3289.1	2360.6	2745.38	2822.04	2042.68	2462.37
LOC100651527	701.54755	658.4489	647.3324	675.6239	573.2899	622.3105	832.8016	666.4813	546.5113	586.2638	552.2664	530.2528
LOC100651528	2564.9942	3244.9999	2771.0045	2736.99778	2207.9956	2431.9987	2612.002	2815.9996	2179.004	2010.0034	2224.99630138703	2104.998
LOC100651530	3	7	16	7	7	8	23	10	9	10	3	10
LOC100651531	533	676	659	2145	1215	457	1582	1936	2887	1317	778	468
LOC100651532	701	726	603	583	531	541	769	635	522	485	460	513
LOC100651533	1627.4386	1463.3835	1386.1596	1330.5098	1305.65	1233.221	1627.7319769874	1594.5475	1238.5739	1090.4068	958.7694	1017.517
LOC100651534	547.0002	669.99966	571.00003	495	758.9997	729.99948	1370.9974	558.9999	503.00043	638	329	427.00014
LOC100651535	139	301	222	263	152	196	153	164	170	126	151	228
LOC100651536	734.404	544.7876	414.3323	356.173	497.8935	383.3599	654.724	415.9619	506.6986	665.0306	311.0786	334.6394
LOC100651537	518.487	469.0499	414.3398	351.55	374.057168783	303.85862	532.492	426.128353486	365.667	378.2709	298.654	280.4192
LOC100651538	83	90	68	72	48	79	77	42	80	84	29	54
LOC100651541	1272.5933	1876.037	1559.961	1532.657	1365.5843	1552.5613	1997.938	1397.866	1277.481	1178.2196	1252.707	1352.089
LOC100651542	446.0398	688.0001	509	621.0002	231.0004	542	420	238.9996	307	631.0005	558	337.0001
LOC100651543	92	47	68	47	51.4468	57.2154	50	56.2211	78	75	45.2021	53.2248
LOC100651544	10149.998	11776.024	9597.005	9566.998	8268.002	8764.996	10760.999	8036.001	9672.999	9996.004	7672.996	7362.999
LOC100651545	1422.3691	1970.10129	1663.1424	1686.121	1343.1295	1475.1929	1803.9268	1475.879	1455.7804	1465.1111	1308.305	1298.642
LOC100651546	28622	50119	34077	34089	28183	34863	31648	35117	26579	17584	20083	33895
LOC100651547	463	457.9996	446.99996	403.0003	379.0002	397.0001	608.0005	371	337.9998	409.0002	316.99963	404.000000898759
LOC100651549	196	336.078	218	217	221	287	234	203	242	205	179	291
LOC100651550	15	30	36	63	33	50	136	42	32	25	43	20
LOC100651551	1261.0004	1905.9996	1083.9996	1534.0011	1261.0003	1120.9994	1474.9999	1051.0002	1332	1203.0003	1118.0003	1004.9997
LOC100651552	9629	5543	7263	7357	8166	7497	9338	8725	7695	6725	4524	5041
LOC100651553	1972	2178	2113	1967	1813	1933	2307	1975	1859	1476	1445	1659
LOC100651554	2435.999	2185.9963	1688.9977	3089.002	2351.0041	1631.9962	2481.996	1977.9988	1637.9955	1921.9983	1432.0033	1067.999
LOC100651555	617	836	632	745	534	674	762	637	514	512	560	645
LOC100651556	898.00052	984.0001	815.99923	718.0001	735.0005	976.39115	1017.0003	843.0005	727.6982	666.0008	648.0004	695.9998
LOC100651557	19	22	18	9	10	4	12	11	10	12	7	15
LOC100651558	949.80900057173	973.702	976.9288	805.82	793.811	803.612	1152.8883	852.759	796.696	821.92900320699	594.782	675.89
LOC100651559	2148.0007	2283.9961	1926.0004	1976.9946	1820.9963	2066.9984	2533.995	2185.9988	1932.9958	1570.9988	1526.0004	1731.0037
LOC100651560	314.0002	482	322.9995	366	280	373	374	280.0004	291	224.9998	316	291
LOC100651561	1516.09	2620.89	1582.21	2180.69	1930.03	2264.49	2039.47	1999.83	1880.93	1135	1905.02	1798.28
LOC100651562	1733.0011	1618.9994	1362.0032	1435.0003	1420.0027	1795.0037322	2184.002	1732.004	1427.864	1184.997895	1187.0012	1224.0015
LOC100651563	2068.005	1667.9958	2765.003	2413.997	1724.002	1587	2013	2405.002	1718.999	1701.996	1112.0033	1441.997
LOC100651564	222.99990129845	141.9999	124.0001	126.00009	147.99996	236	162.9999	111.000100027142	142	171	70	104.00005
LOC100651565	11555.1	11362.3	10087.3	10893.3	8823.84	8687.98	12993.3	8947.67	9720.77	11056.7	7691.11	7520.1
LOC100651566	764	678	688.218	508	433	470	430	417	432	388	314.9995	421
LOC100651567	19.0000419	75	88	433	175.9999	33.0000138	673	363.0004	458	222.9998	242	69
LOC100651568	562	716.673	822.904	671.622	604	606.691	644.814	668.823	605.828	471.77	469.573	574
LOC100651569	395	476	304	356	268	337	280	277	354	255	249	268
LOC100651570	948.208	1002.56	1018.77	747.119	780.444	729.66	870.835	913.041	688.629	668.399	586.055	671.93
LOC100651571	1901	2178	2083	1899	1623	1752	2352	1859	1495	1527	1549	1543
LOC100651572	4232.951	3250.998	4179.995	3518.86	2823.997	2906.003	3601.981	3167.933	3000.004	3304.911	2343.003	2560.002
LOC100651573	130	127.201	114.012	65	103	86	74.006	87.2062	89.2611	82	35.2761	84.1223
LOC100651574	486.0006	476	529.000200083971	432.9996	385.9998	396	517.00081	432	368.000401894	415	314.99952	345.9999
LOC100651575	1676.9962	1864.000796	1537.0001512376	1318.999925	1166.0008	1135.99955	1769.00000014564	1302	1252.0003149385	1437	919.000163	994.999615961
LOC100651576	1278.22172	1770.554	1251.98613	1474.7095	1372.2493	1683.37738	1835.8133	1492.194	1477.68	1072.14318	1366.0004	1276.53602
LOC100651577	3.2393268	2.0074412	4.0198789	2.2610741	2.5353845	2.01076	1.0023568	1.1148798	4.3569207	5.0175293	2.0074371	3.0119062
LOC100651578	16.0988	38.3309	39.2151	38	19	39	27.141	25	23.1544	21	26.2996	31
LOC100651579	10	4	4	3	3	6	7	2	1	1	2	2
LOC100651582	1610.0035	1346.001	1242.812	1233.002	1034.9997	1271.9954	1416.9955	1282.8748	1085.875	1129.003	959.0005	1073
LOC100651583	342	496	344	436	381	528	492	362	403	263	372	325
LOC100651584	2555.9999	2734.9968	2781.0017	2305.0065	1915.0002	2206.9978	2604.994	2132.0025	2097.0006	2037.0003	1524.0003	2086.9997
LOC100651585	188	255.0002	215.00006	171.99959	177	175.00019	205.0001	180.0003	191.99956	148.00041	134	175.0001
LOC100651586	12924.017	7062.004	10677.95	5960.001	5782.998	7093.001	5848.996	9619.998	5143.004	7423.996	3611.996	5369.0013
LOC100651587	192.0002	201.1343	155.0002	153.3686	134.1274	148.9998	209.9997	167	166.9996	214.9997	124	124
LOC100651588	8763.9960633	13218.999	9878.993	10317.0092	10242.0042	12190.003	12333.998	9779.992	9599.999	8275.0007	10757.9954	10150.016
LOC100651589	2	1	0	1	2	1	2	0	1	0	0	1
LOC100651590	867	681	660	540	599.9998	474.0001	824	724	459	718	390.0005	603
LOC100651591	434	478	395	421	376	421	508	310	387	425	423	348
LOC100651592	1152.605	1380.782	1357.99667103	1086.8320172262	921.0003062	941.001	1072.78400344598	946.999098	902	984.7961	709	897.719801
LOC100651593	2856.359	2775.8955	2772.7127	2532.5139	2250.913	2417.3092	3014.9968	2495.86701	2188.314	2027.66734	1699.80397	2199.63988
LOC100651594	2060.999	1991.005	1890.999	1489	1673	1408	2121	1804.998	1590	1584	1316	1328
LOC100651595	739	823	839.0002	973	558.0009	501.0006	729	651	648.0007	517.9997	332.9999	886
LOC100651596	1602	2101.9971	1791.97	1665.0044	1738.98696	2150.9549	902.958	2168.96	1368.96	968.9612	2146	2055.9961
LOC100651597	755	925	707.0004	712	630.9996	653	910.0002	681	625.999899135	637	566.9996	551
LOC100651598	1017	1261	1075	1012	973	1047	1536	945	909	955	916	870
LOC100651599	312	250	210	242	256	248	325	231	252	188	176	237
LOC100651600	6514	6512	6851	5313	4795	5043	5852	5452	4524	4567	3369	4857
LOC100651601	18	89.00002	88	31.0000036	34	66	32	30	43	37	53	75
LOC100651602	990.959	839.588	923.68	819.217	725.854	661.707	844.529	740.155	708.223	854.523	593.08	690.408
LOC100651603	23233.928	17384.8781	21736.888	16663.009	18058.0023	17543.93391	29816.8534	19799.9804	13334.0234	13530.893	11502.802043	11793.03341
LOC100651604	384.942	549.186	469.761	498.474	356.574	374.054	543.357	388.667	439.585	415.805	365.767	355.708
LOC100651605	3841.999	4716.9961	3614.9989	3742.0003	3463.99555	3716.0025	3837.9954	3853.0007	3257.9991	2761.9978	3086.0014	3131.0019
LOC100651606	693	790	577	466	491	637	691	573.917	558	410	414	509
LOC100651608	518	866.0005	629.0008	654.00038	698.9996	903.00037	982.99964	559.00025	654.00082	573.99946	653.99934	636.00009
LOC100651609	2748.999	2865.001	2291.004	2446.999	2063.995	2262.003	3148.005	2391.003	1929.001	1998.003	1831	1951.998
LOC100651610	1400.31328	1452.65145	1431.56325	1427.47986	1115.51136	1132.12638	1694.72153	1260.36259	1403.46923	1565.62722	1100.7036	1059.18443
LOC100651612	42	64.2628	87.0678	70.0657	38.1075	44.099	22	52	41.1477	83.2202	38.0549	101
LOC100651613	312.29575	307.8328	365.71084	316.7059	216.75392	239.29478	286.6392	271.00012	259.3847	247.5026	258.425	231.9997
LOC100651615	282.1072	372.1245	293.9092	251.2002	255.6291	286.3169	269.4653	282.0823	266.4763	215.3	201.5422	243.2906
LOC100651616	515.278	897.149	732.119	730.403	507.523	549.832	570.269	500.731	557.126	598.354	431.563	550.427
LOC100651617	4	2	0	1	2	1	2	0	2	1	0	1
LOC100651618	3004.996	3101.0023	2631.00390031238	2227.9998514789	2223.0006	2439.9961	2891.995431391	2487.998	2071.00000002103	2223.9998	1878.9986	2187.0017
LOC100651620	1002.0007	1177	1052.0004	833.9999	760.0002	883.001	1051.9997	693.9996	646.9993	697.001	729	855
LOC100651621	157.99999	260.99997	208.9996	200.99965	176.9997	201	241.9997	127.0004	145	194.0003	182.9995	201
LOC100651622	1363.999	1647.0003	1388.9994	1457.9997	1177.0001	1344.9998	1493.0004	1357.0002	1206.0006	1210.00031	1170.0001	1234.0003
LOC100651623	410	723	786	750	545	583	504	478	691	388	344	716
LOC100651624	2199	3822	2514	3136.92	2292	3174	2874	2690	2493	2037	2322	2426
LOC100651625	166	119	151	71	185	214	237	190	114	71	129	162
LOC100651627	351.923	613	364	460	322	355	564	277	413.956	350.94	281	329
LOC100651628	209	381	204	240	201	226	254	193	224	228	199	278
LOC100651629	1115.35	954.682	973.784	749.089	793.641	783.114	1000.42	853.696	721.337	803.227	531.526	659.775
LOC100651630	1325.005	1085	1236	1071	1006	899	1594	1202.998	891.9996	896	735	835.9997
LOC100651631	26	13.99999544	9.999997005	17.999954686	15.00000152	20.000008334	29.99997606	19.000003254	19.00001812	21.000035347	14.00001911	10.000002232
LOC100651632	420	711	630	571	527	573	691	427	576	403	501	567
LOC100651633	793	846	853	824	681	889	1006	786	596	671	473	656
LOC100651634	1153	918	1142	911	861	751	1097	1014	775	786	592	626
LOC100651635	3445	4410	3280	3705	3606	3927	5075	3384	3684	3717	3685	3025
LOC100651636	787.491268203694	571.9995	583.20200988885	476.57356055497	365.8476	430.0005	649.429496753052	439.395387193974	467.6919	749.256000199882	252.999900046686	297.1742001925
LOC100651637	6	4	4	1	4	4	3	7	4	7.04647	2	6.01964
LOC100651638	182.99998405	207.999906	152.0001	151.00001	171.9999	159.999938	181.00009	143.0000192395	179.00004	124	94.99995	139
LOC100651639	1326.458	1156.902	1077.4271	1023.5	867.389	975.000000269535	1358.40686216	864	797.99985083	904.999	874	861
LOC100651640	1765	2006	1652	1831	1555	1722	2343	1708	1574	1557	1484	1450
LOC100651641	288.841191294	358.959	328.9684	274.892	224.5496	216.9999	300	301.8868	263.772	274.7627	152.8082	233.9999
LOC100651643	820	908	905	897	731	762	1146	761	721	775	556	616
LOC100651644	396	387	374	269	298	274	419	285	312	349	210	260
LOC100651645	1406.0005	1195.0004	1334.9996	1181.0002	915.9996	1025.0009	1294.9998	1054.0004	972.0002	1092.9997	815.9996	886
LOC100651646	1589.0005	2034.999	1692	1665.9993	1357.9992	1566.000192	1788.9998	1523.0000249485	1564.000421	1388.9997	1171	1312.0003
LOC100651648	822.1011	1803.5521	1779.2578	1326.2691	942.0027	1204.4049	1163.257	1777.871	1399.06329	894.5397	614.7266	1568.0336
LOC100651649	8	12	10	11	11	9	4	13	7	3	11	13
LOC100651650	1278	1159	1091	921	774	748	1013	986	842	963	548	780
LOC100651651	2585.9937	2598.00455	2012.9993	2361.0012	3231.0071	2282.0036	3604.0034	3154.0032	2105.0008	2223.0005	1209.9996	1754.0005
LOC100651652	443.0004	727.0002	561.9999	639.0005	526.0003	691.9997	650.9996	596.0004	585.0004	516.0001	526.0005	579.9996
LOC100651653	2424	2662.996	2185.003	1993.997	1722.998	2078.995	2078.995	2217.996	1837.9955	1695.0019	1604.0014	1750.0031
LOC100651654	2105	2165.004	2875.004	2196.996	1735.996	1743.001	2117.998	1992.001	1661.997	1587.001	1266.002	1819.997
LOC100651655	9087	3627	4401	9341	10361	2846	10132	15652	17540	6769	6095	2298
LOC100651656	2389.003	3400.992	2768.0004	2876.0027	2611.996	2238.003	4404.002	3450.004	1909	3125	1993.0032	2407.999
LOC100651657	1788.776	2109.9124	1696.375	1330.806	1322.035	1473.9546	1539.69	1404.138	1788.3907	1137.805	995.815	1288.065
LOC100651658	57	23	13	16	20	40	15	20	34	18	24	59
LOC100651659	279	360	276	261	248	315	415	273	240	283	267	297
LOC100651660	537.8776	557.3045	443.074	509.541	414.1593	525.5426	637.1146	427.0381	445.5343	514.4204	414.9156	394.2995
LOC100651661	3526.003	3755.0020232484	3045.9946	2962.0033	2696.9999	2849.9967	3352.997	2711.997	2765.0043	2813.0023	2373.005	2298.0028
LOC100651662	46	72	88	67	45	56	56	55	62	56	53	54
LOC100651663	62.8852	94.2691	89.2909281596	63.61781	28.29131	73.66515	72.9989	61.3413	47.9603	58.5897	72.2436	65.6159
LOC100651664	499.9998	565.99982	500.9995	418.99961	471.9996	455.9997	570.00036	430.00023	441.99965	492.00031	327.00039	382.9999
LOC100651665	87.9999660567	84.99998452122	81.00001698101	68.9999	60.0000043103	63.0006	130.000082288436	50.00000235506	75.999997909	76.0001	63.000047547072	42.99999877
LOC100651666	695	745.0001	638.0004	639.0004	576.9999	665.9999	778.0004	712.9998	569.0003	550.0002	557.0001	556.9996
LOC100651668	426	633.944	558	620	414	459	622	477	476	385	438	449
LOC100651669	164.0003	150.000000015536	127	114.000010015132	116.000000133921	107.000018514	158	105.000064649932	87	157.9998	97	106.000000027184
LOC100651670	19.00004	59	43	59.99995	42	31	33.0000319505	52.99999	44.00002	46.99998	42.00001	54.00003
LOC100651671	882.766	1031.8513	877.9996	674.9999	590.0002	537.6918	693.0001	631.8296	778.0004	756.9741	516.9997	536.99991
LOC100651672	816	969	900	748	661	672	1071	836	624	690	578	692
LOC100651673	2828.99596	3005.0007	2418.9983242877	2193.99813	2186.00071	2493.0012	2937.9986	2298.0002	2073.9982	1908.9995	2091.0009	2070.9996
LOC100651674	87	88.00001	53.00004	46.99995	77	57.99995	59.00004	43.00003	76.99999	75.99997	42	49.00003
LOC100651675	2434	1817.004	2263.002	2208.004	1903	1913	2822	1802	2176	2204	1223.999	1235
LOC100651676	1650.999	1644.999	1541	1287.999	1212.001	1292.999	1556	1273	1261.999	1358.001	988	1198
LOC100651678	1968.6701	2395.567	2200.52082	2089.9727	1772.1399	1998.8152	2341.6465	1793.8188	2003.5774	2082.7133	1628.75864	1645.81063
LOC100651679	1938.002	1885.997	1833.003	1831.004	1565	1732.003	2323.001	1905.004	1541	1371	1096	1352
LOC100651680	1442	2081.999	2064	1360.9999	1378	1633.9995	1648	1974.9962	1383.0012	1186	1022	1560.001
LOC100651681	1555.1516	1506.1917	1623.3784	1476.3462	1091.3643	1209.4859	1496.4499	1209.6916	1072.7801	1346.9195	1010.0653	1114.4798
LOC100651682	3015.998	2500.997	2744.004	2094.004	1835.005	2012.997	1608	1660.002	1493.997	1432.002	1365.997	1531.002
LOC100651683	501	599	1479	7678	3762	363	5968	4983	7875	3807	2099	434
LOC100651684	430.87630840135	543.4154	497.0502613	339.55922521538	380.60003805724	368.768720031389	476.158514	515.5502544	374.67636	317.2255358	329.14711672	355.30944003755
LOC100651685	20.8807	24.14652	23.8539	33.27084	23.8437	14.67083	21.9672	28.3148	17.86962	45.4179	9.44199	14.85651
LOC100651686	2252.997	2157.998	2000.0023	1772.003	1695.0011	1883.9969	2514.9976	1888.0037	1744.0047	1428.001	1538.0049	1448.9991
LOC100651687	2701.9405	2088.031	2598.1697112	2368.3886	2280.987922	2329.9614	3104.4156	2297.4441	2265.274955	2054.10706	1488.9233	1657.74280514909
LOC100651688	33511.76	35261.4	30166.28	30139.89	22437.58	25501.35	36480.15	27968.94	26945.34	22784.57	19562.94	25005.05
LOC100651689	967.0006	1048	1091.9995	901.9995	758	735.9998	1062.99998	885.9994	783	800.0007	530.00036	668.00007
LOC100651690	874	859	617	695	786	806	793	698	814	633	679	581
LOC100651691	1024.61	962.642	889.771	824.777	756.248	875.621	1109.42	849.988	738.584	780.599	580.009	677.573
LOC100651692	106.514	153.195	118	128.064	92.2442	99.0474	210.212	120.056	139.248	167.264	118.13	140.402
LOC100651693	1982.2972	2297.6313	2671.7822	1706.362	1201.6488	1700.7165	1724.9699	1366.8544	1190.921	1372.4493	1304.7756	1582.5992
LOC100651694	2999.0003	3811.9974	2669.9528	2353.939	2723.99922	2681.9615	2655.00114	2989.8822	3465.91663	2628.9642	1845.9995	2491.9353
LOC100651696	380	597	427	484	402	461	530	395	393	409	443	425
LOC100651697	310.9999	222.00013	210.0004	143.99964	142.0001	178.0005	150	219.99979	174.99959	146.00042	67.00001	131.00004
LOC100651698	729	751	547	604	629	694	866	606	650	553	511	458
LOC100651699	2652.003	2584.0003	2248.998	2173.997	1926.9965	2171.0035	2784	1906.9959	1859.0029	2045.0003	1701.002	1850.996
LOC100651700	538.0002	519.0004632	490.0005	413.9998	383	370.9999	552.9999	472.0001	355.0001	416.9995	299.0005	332.9997
LOC100651701	904.0985	835.3335	782.9175	680.1063	567.4277	762.617	733.0881	688.28098	679.8847	625.2926	555.1976	541.0167
LOC100651702	793	1074	846	655	678	840	1105	694	730	774	759	708
