BT_A_N_001	BT_A_N_025	BT_A_N_029	BT_A_P_014	BT_A_P_026	BT_A_P_030	BT_A_SL_003	BT_A_SL_027	BT_A_SL_031	BT_A_SM_004	BT_A_SM_028	BT_A_SM_032
LOC100642396	705.0001	725.9998	403.0003	524.00031	484	587	770	506	445	618	590	422.00009
LOC100642397	1740.0022	2158.996538915	1760.9979	1555.001809462	1513.00460055539	2128.99807	1458.99994668407	1622	1659.9959	2017.0033	1407.00470124541	1486.998949
LOC100642398	1183.7882	925.1507	958.7248445196	742.5388	688.2592	793.6694368	707.4119	773.1261	788.714	774.508	494.5873	575.970700010129
LOC100642399	1164.447	1356.0757	1337.6619	1336.86	892.7172	1041.6378	1404.8034	934.119	1115.6607	1400.213	757.4171	904.981100013062
LOC100642401	3281.33	5522.43	3523.48	4653.03	3068.86	3566.19	4150.35	3553.18	3448.42	2873.29	3267.24	3082.19
LOC100642402	764	581	473	394	488	386	580.502	424	490	455	362	390
LOC100642403	1689	1710	1636	1333	1152	1389	1667	1467	1164	1156	1037	1252
LOC100642404	29.00003	51	23	28.99995	28.00001	33.00002	26.99997	35.99999	14.99998	30	24.99998546	25.99998
LOC100642405	6873.549	10662.915	8546.541	8198.919	8534.724	9907.29	12145.09	8222.413	8327.56	6606.902	7500.682	8018.605
LOC100642406	730	821	619	638	542	602	692	578	631	705	683	548
LOC100642408	143.2957	147.91153	114.2129953	83.3544	136.21940316897	144.71082	158.0467	101.51535	101.9786	72.86133	59.00695	124.3486
LOC100642409	727	867	912	740	630	821.964	940	742	653	720	493	735.967
LOC100642411	1799.996	673	665.00031114	880.0002	937.99952	610.0003649	1521.002385	630.0003	1135.996	1372.997	726.000000251118	426.0005
LOC100642412	879.9997	1176.9997	1011.9999	972.0001	788.0007	957.9997	1035.0003	841	724.999	769	760.0001	826.00039
LOC100642413	7794	7987	5858	7357	5560	6783	7700	7223	5730	5792	5885	5289
LOC100642414	658.32	597.423	575.869	481.676	489.096	480.082	707.974	488.519	518.032	483.696	434.693	391.676
LOC100642415	236	248	239	176	181	218	169	167	155	196	137	150
LOC100642416	750.9995	468.0001	691.9992	513.9998	403	347.0002	415.9998	482.9999	389.0004	513.0003	232	289.0001
LOC100642417	1251	1905	1333	1473	1330	1505	1676	1309	1504	1119	1325	1226
LOC100642418	591	975	667	779	465	482	711	443	467	311	437	459
LOC100642419	941	1081.99889	976.0005	853.99939	781.00048	847.9995	881.99977	844.0006	683.99986	688.00008	584.99947	782.99996
LOC100642420	2	5	3.4543	0	4	1	2	0	2	4	2	1.10137
LOC100642421	222	154	187	144	109	123	132	103	130	162.509	82	106
LOC100642422	329.409	290.723	269.297	222.856	190	236.788	301.595	275.054	200.287	246.369	165.533	174.54
LOC100642423	969.6842	1165.996	770.9996	851	971.0005	1176.784	1346.995	920.0002	998.702	954	957.0003	885
LOC100642424	869.8232062	974.0634	831.5789882223	911.0927	670.750722	839.3087	1033.448217608	767.7253	705.232117349	763.3436	573.55013	652.1361
LOC100642425	2445.8931	2912.739	2471.113	2308.95	2017.5331	2268.8648	2656.6676	2224.3271	2120.18344	1892.42	1757.56687	1859.72473
LOC100642426	1630.999	1712.0048	1445.0005	1400	1145.99987	1331.00084	1568.0003	1283.9997	1281.99997	1233.99982	1087.99925	1201.9993
LOC100642428	3168.001	2544.9995	2791.9997	2447.9966	2140.9999	1990.9997	2648.9985	2216.0004	2053.0004	2513	1602.0005	1671.9993
LOC100642429	1610	1953	1541	1421	1271	1458	1457	1400	1194	1290	1077	1230
LOC100642431	604.301	619	407	383	446	413	496.184	493	497	340.202	362.25	415
LOC100642432	635	761	589	559	453	546	728	462	503	609	489	524
LOC100642433	691.9998	692.0001	664.9998	672.9997	453.9999	487.9997	586.0002	640.0002	493.9999	545	445.9997	496.0003
LOC100642434	903	806	993	678	585	594	791	669	612	698	501	583
LOC100642435	669	659	556	485	541	483	554	552	536	428	336	467
LOC100642436	226.0001	188	197	171.0001	140.000000011966	134.9999	213.0001	119.00002	123.9999	196.9999	118.9999	113.000000152423
