target_id	length	eff_length	est_counts	tpm
Caust.v2_007792-RA	921	660.768	446	25.8091
Caust.v2_007816-RA	936	675.755	479	27.104
Caust.v2_020081-RA	1170	909.671	203.779	8.56568
Caust.v2_018226-RB	1230	969.671	150	5.91499
Caust.v2_018225-RA	465	205.997	56.3831	10.4659
Caust.v2_018226-RA	1230	969.671	150	5.91499
Caust.v2_019662-RA	885	624.794	0	0
Caust.v2_018497-RA	1212	951.671	330	13.2591
Caust.v2_018496-RA	969	708.671	496.508	26.7898
Caust.v2_018498-RA	654	394.057	151.323	14.6837
Caust.v2_013872-RA	189	27.3742	2	2.79367
Caust.v2_013874-RA	399	141.704	0	0
Caust.v2_013860-RA	1035	774.671	6	0.296157
Caust.v2_013869-RA	861	600.794	1	0.0636445
Caust.v2_013865-RA	366	111.193	1	0.343882
Caust.v2_013875-RA	1356	1095.67	5	0.174493
Caust.v2_014567-RA	4011	3750.67	2727	27.8012
Caust.v2_014568-RA	675	415.024	99	9.12114
Caust.v2_014567-RB	4011	3750.67	2727	27.8012
Caust.v2_014571-RA	3096	2835.67	1899.28	25.6107
Caust.v2_014569-RB	2067	1806.67	317.572	6.72125
Caust.v2_014569-RC	2067	1806.67	317.572	6.72125
Caust.v2_014569-RA	2067	1806.67	317.572	6.72125
Caust.v2_014570-RA	1656	1395.67	1060	29.0409
Caust.v2_019025-RA	1854	1593.67	60.8742	1.46057
Caust.v2_017569-RA	2607	2346.67	2337	38.0797
Caust.v2_017566-RA	426	167.719	6	1.36791
Caust.v2_017567-RA	1773	1512.67	80	2.02224
Caust.v2_021645-RA	297	58.0721	2.18613	1.43944
Caust.v2_018241-RA	246	35.1716	0	0
Caust.v2_018242-RA	789	528.841	3	0.216912
Caust.v2_019581-RA	252	36.928	0	0
Caust.v2_017518-RA	3948	3687.67	749	7.76635
Caust.v2_017521-RA	552	292.354	2	0.261582
Caust.v2_018537-RA	1167	906.671	693	29.2261
Caust.v2_018536-RA	804	543.841	182.5	12.8315
Caust.v2_018536-RB	804	543.841	182.5	12.8315
Caust.v2_020952-RA	876	615.794	137	8.50691
Caust.v2_015866-RA	294	56.282	0	0
Caust.v2_015871-RA	222	30.0229	0	0
Caust.v2_015866-RC	321	74.2399	128.001	65.9268
Caust.v2_015866-RB	384	127.614	10.9993	3.29577
Caust.v2_015865-RA	1581	1320.67	124	3.59016
Caust.v2_015867-RA	363	108.573	3	1.05654
Caust.v2_015868-RA	1086	825.671	4	0.185242
Caust.v2_022152-RA	435	176.543	0	0
Caust.v2_006010-RA	546	286.366	340	45.3988
Caust.v2_006032-RA	1119	858.671	2	0.0890616
Caust.v2_006023-RA	1614	1353.67	180.117	5.08779
