Def	NM_001280909.1
LOC100642941	XM_003401025.3
LOC100642942	XM_020867106.1
LOC100642943	XM_003401670.3
LOC100642944	XM_003402069.3
LOC100642945	XM_012318880.1
LOC100642946	XM_012319118.2
LOC100642947	XM_003403149.3
LOC100642948	XM_003403364.2
LOC100642949	XM_020866664.1
LOC100642950	XM_003393526.2
LOC100642951	XM_020868340.1
LOC100642952	XM_020867922.1
LOC100642953	XM_020868635.1
LOC100642954	XM_020868421.1
LOC100642957	XM_012308640.2
LOC100642958	XM_012308766.2
LOC100642959	XM_012309207.2
LOC100642961	XM_003396181.3
LOC100642962	XM_012310033.1
LOC100642963	XM_020863559.1
LOC100642965	XM_020864121.1
LOC100642966	XM_012312421.2
LOC100642967	XM_012312649.2
LOC100642968	XM_020864977.1
LOC100642969	XM_012313549.2
LOC100642970	XM_020865546.1
LOC100642972	XM_020865759.1
LOC100642973	XM_003400045.3
LOC100642975	XM_003400616.3
LOC100642976	XM_012316986.2
LOC100642977	XM_012317101.2
LOC100642978	XM_003401432.3
LOC100642979	XM_003401590.3
LOC100642980	XM_012317629.2
LOC100642981	XM_012318061.2
LOC100642982	XM_003402148.3
LOC100642983	XM_012319254.2
LOC100642984	XM_003402989.3
LOC100642985	XM_003403069.3
LOC100642986	XM_003403294.3
LOC100642987	XM_020868378.1
LOC100642988	XM_012318244.2
LOC100642989	XM_003394000.3
LOC100642990	XR_002307604.1
LOC100642991	XM_020868573.1
LOC100642992	XM_003394556.3
LOC100642993	XM_003394961.3
LOC100642994	XM_003395121.3
LOC100642995	XM_003395289.3
LOC100642996	XM_003395783.3
LOC100642997	XM_012309894.2
LOC100642998	XM_012310286.2
LOC100642999	XM_020864185.1
LOC100643000	XM_020864115.1
LOC100643001	XM_003397395.3
LOC100643003	XM_012312050.2
LOC100643004	XM_012312373.2
LOC100643005	XM_003398767.3
LOC100643006	XM_003398849.3
LOC100643007	XM_020865209.1
LOC100643008	XM_020865486.1
LOC100643009	XM_003399408.3
LOC100643010	XM_012314469.2
LOC100643011	XM_003399731.3
LOC100643012	XM_003400127.3
LOC100643013	XM_020866274.1
LOC100643014	XM_020866430.1
LOC100643015	XM_020866789.1
LOC100643018	XM_003401749.3
LOC100643019	XM_012317946.2
LOC100643020	XM_012318454.2
LOC100643021	XM_012318573.2
LOC100643022	XM_003402377.3
LOC100643023	XM_020867760.1
LOC100643024	XM_020867830.1
LOC100643026	XM_003402915.3
LOC100643027	XM_012311106.2
LOC100643028	XM_003392897.3
LOC100643029	XM_012310025.2
LOC100643030	XM_012312860.2
LOC100643031	XM_020867579.1
LOC100643032	XM_003394081.3
LOC100643033	XM_012320614.2
LOC100643034	XM_012307702.2
LOC100643035	XM_012321376.2
LOC100643036	XM_012308129.1
