target_id	length	eff_length	est_counts	tpm
NM_001206970.1	1154	896.196	26	2.64947
NM_001206973.1	2299	2041.2	212.108	9.48988
NM_001214904.1	3024	2766.2	466.403	15.3981
NM_001220486.1	2644	2386.2	297	11.3668
NM_001220487.1	2747	2489.2	57	2.09124
NM_001242386.1	3284	3026.2	239	7.21255
NM_001242387.1	7402	7144.2	1134.28	14.4996
NM_001242431.1	1343	1085.2	309	26.0039
NM_001242432.1	2433	2175.2	703.12	29.5202
NM_001242433.1	2514	2256.2	2251	91.1143
NM_001242434.1	1729	1471.2	197.736	12.2745
NM_001242435.1	3041	2783.2	134.392	4.40979
NM_001242436.1	2828	2570.2	1447.23	51.4231
NM_001242437.1	2866	2608.2	0	0
NM_001242440.1	1971	1713.2	163.5	8.71563
NM_001242441.1	1971	1713.2	163.5	8.71563
NM_001242456.1	2803	2545.2	140.67	5.0474
NM_001242457.1	535	277.68	153.606	50.5186
NM_001242458.1	3602	3344.2	1251	34.1628
NM_001242465.1	1635	1377.2	1555.48	103.147
NM_001242467.1	1154	896.196	607	61.8548
NM_001242468.1	2560	2302.2	52.1613	2.06916
NM_001242469.1	571	313.642	6058.54	1764.1
NM_001242470.1	1756	1498.2	212.544	12.9559
NM_001242513.1	1263	1005.2	2553	231.947
NM_001242514.1	1790	1532.2	924	55.0739
NM_001242515.1	3238	2980.2	541.703	16.5999
NM_001242516.1	3351	3093.2	125.039	3.69169
NM_001242517.1	2333	2075.2	196.982	8.66871
NM_001242518.1	5170	4912.2	897.905	16.6933
NM_001242519.1	1741	1483.2	1742.85	107.312
NM_001242520.1	1212	954.196	661	63.2633
NM_001242522.1	2268	2010.2	948	43.0683
NM_001242523.1	2658	2400.2	36.9499	1.4059
NM_001242526.1	2334	2076.2	352	15.4833
NM_001242527.1	1268	1010.2	643	58.1291
NM_001242542.1	1798	1540.2	314	18.6184
NM_001242544.1	937	679.196	723	97.2145
NM_001242554.1	1848	1590.2	180.928	10.3907
NM_001242555.1	2075	1817.2	163.118	8.19763
NM_001242556.1	1877	1619.2	85.9274	4.84641
NM_001242557.1	1847	1589.2	52.1463	2.99663
NM_001242574.1	10144	9886.2	730.251	6.74576
NM_001242576.1	2969	2711.2	139.519	4.69959
NM_001242577.1	1283	1025.2	185	16.4798
NM_001242578.1	1330	1072.2	69.9407	5.95723
NM_001242579.1	1701	1443.2	1040	65.8106
NM_001242656.1	1337	1079.2	10481.4	886.965
NM_001242657.1	1242	984.196	1944.61	180.443
NM_001242958.1	1544	1286.2	0	0
NM_001242959.1	1418	1160.2	0	0
NM_001242960.1	1536	1278.2	2	0.142896
NM_001242961.1	1364	1106.2	1	0.0825574
NM_001242962.1	1569	1311.2	2	0.1393
NM_001242963.1	1352	1094.2	1	0.0834628
NM_001242964.1	1388	1130.2	0	0
NM_001242965.1	1354	1096.2	0	0
NM_001242966.1	1269	1011.2	2	0.180627
NM_001242967.1	1354	1096.2	0	0
NM_001242968.1	1396	1138.2	0	0
NM_001242969.1	1242	984.196	0	0
NM_001242970.1	1355	1097.2	12.1601	1.01214
NM_001242971.1	1446	1188.2	6	0.461159
NM_001242972.1	1221	963.196	2	0.189628
NM_001242973.1	1221	963.196	2	0.189628
NM_001242975.1	1227	969.196	6.37937	0.60111
NM_001242976.1	1231	973.196	0	0
NM_001242977.1	1221	963.196	0	0
NM_001242978.1	1239	981.196	0	0
NM_001242980.1	1227	969.196	1	0.0942272
NM_001242981.1	1224	966.196	2	0.18904
NM_001242982.1	1230	972.196	0	0
NM_001242983.1	5482	5224.2	0	0
NM_001242984.1	1194	936.196	0	0
NM_001242985.1	1293	1035.2	0	0
NM_001242986.1	1226	968.196	0	0
NM_001242987.1	1176	918.196	4	0.397844
NM_001242988.1	1174	916.196	2	0.199356
NM_001242989.1	1203	945.196	41	3.96141
NM_001242990.1	1092	834.196	0	0
NM_001242991.1	1092	834.196	1	0.109476
NM_001242993.1	1574	1316.2	17	1.17955
NM_001242997.1	1195	937.196	47.1701	4.59647
NM_001242998.1	1492	1234.2	3	0.221986
NM_001242999.1	2663	2405.2	16	0.607516
NM_001246251.2	2460	2202.2	0	0
NM_001246667.1	5073	4815.2	149.901	2.843
NM_001252019.1	6272	6014.2	183	2.77883
NM_001252424.1	1575	1317.2	0	0
NM_001252426.1	1941	1683.2	0	0
NM_001252428.1	1113	855.196	11.645	1.24354
NM_001252432.1	1008	750.196	0	0
NM_001256032.1	3561	3303.2	312.46	8.63868
NM_001256034.1	7969	7711.2	60.11	0.711891
NM_001256035.1	4018	3760.2	186.204	4.52239
NM_001256037.1	10767	10509.2	597.662	5.19367
NM_001256038.1	2047	1789.2	220	11.2293
NM_001256039.1	6033	5775.2	40.7144	0.643827
NM_001256040.1	10114	9856.2	406.628	3.7677
NM_001265585.1	1302	1044.2	0	0
NM_001270813.1	928	670.196	2970	404.709
NM_001270814.1	496	238.767	1976	755.788
NM_001270815.1	989	731.196	2	0.249795
NM_001270817.1	773	515.373	3	0.531603
NM_001270818.1	980	722.196	10	1.26454
NM_001270819.1	1615	1357.2	13	0.87476
NM_001270820.1	885	627.253	136	19.8009
NM_001270821.1	1558	1300.2	9	0.632152
NM_001270822.1	1840	1582.2	62	3.57865
NM_001270823.1	804	546.304	19	3.1762
NM_001270824.1	462	205.037	8	3.56324
NM_001270825.1	865	607.279	44.1002	6.63193
NM_001270826.1	1183	925.196	0	0
NM_001270827.1	1201	943.196	193	18.6872
NM_001270828.1	976	718.196	0	0
NM_001270829.1	1181	923.196	209	20.6748
NM_001270830.1	1123	865.196	656	69.2432
NM_001270831.1	750	492.373	50	9.27392
NM_001270832.1	765	507.373	173.299	31.193
NM_001270833.1	606	348.527	66.7006	17.4776
NM_001276427.1	1431	1173.2	32.7023	2.54563
NM_001277299.1	5618	5360.2	327	5.57128
NM_001277300.1	1954	1696.2	585	31.4969
NM_001277301.1	7263	7005.2	1065	13.8841
NM_001278325.1	2201	1943.2	144.288	6.78114
NM_001278326.1	3007	2749.2	434.252	14.4253
NM_001278327.1	2360	2102.2	472.049	20.507
NM_001278328.1	1954	1696.2	453.86	24.4362
NM_001278329.1	3778	3520.2	321.835	8.34938
NM_001278330.1	3672	3414.2	480	12.8393
NM_001278331.1	6994	6736.2	281.372	3.81465
NM_001278333.1	1754	1496.2	977.752	59.6799
NM_001278334.1	2023	1765.2	54.2276	2.80554
NM_001278335.1	6666	6408.2	712.011	10.147
NM_001278336.1	2762	2504.2	6.84565	0.249652
NM_001278338.1	2410	2152.2	27.1691	1.15287
NM_001278679.1	2847	2589.2	461	16.2601
NM_001278680.1	597	339.542	43.4801	11.6946
NM_001278681.1	3437	3179.2	1573.69	45.2053
NM_001278705.1	1379	1121.2	251	20.4447
NM_001278706.1	1900	1642.2	81	4.50451
NM_001278707.1	2937	2679.2	569	19.3953
NM_001289441.1	1284	1026.2	1	0.0889934
NM_001305884.1	1870	1612.2	61.3109	3.47302
NM_001314079.1	804	546.304	0	0
NM_001318482.1	1108	850.196	11384	1222.82
NM_001319268.1	3782	3524.2	21.2229	0.549961
NM_001319269.1	1239	981.196	268	24.9441
NM_001327947.1	1647	1389.2	1898	124.773
NM_001327948.1	1386	1128.2	0	0
NM_001327949.1	1341	1083.2	2	0.168621
NM_001327950.1	1122	864.196	1	0.105676
NM_001327951.1	6015	5757.2	102.086	1.61936
NM_001327952.1	717	459.373	0	0
NM_001327953.1	813	555.304	30.6018	5.03273
NM_001327954.1	3759	3501.2	9.89292	0.258045
NM_001327955.1	1266	1008.2	0	0
NM_001327956.1	1071	813.196	0	0
NM_001327957.1	3925	3667.2	77.2391	1.9235
NM_001327958.1	8386	8128.2	18.6158	0.209159
NM_001327959.1	1104	846.196	0	0
NM_001327960.1	1167	909.196	0	0
NM_001327961.1	1341	1083.2	47	3.96259
NM_001327963.1	1296	1038.2	0	0
NM_001327964.1	4404	4146.2	1.50088	0.0330587
NM_001327965.1	708	450.393	24	4.8664
NM_001327966.1	1530	1272.2	8	0.57428
NM_001327967.1	1253	995.196	3	0.275296
NM_001331117.1	4739	4481.2	50	1.01898
NR_031510.1	77	33.3621	0	0
NR_031520.1	103	37.0463	2	4.9303
NR_031525.1	82	34.5231	1	2.64532
NR_034281.1	100	38.0619	0	0
NR_034283.1	100	38.0619	12	28.7925
NR_034306.1	100	38.0619	12	28.7925
NR_034309.1	91	36.2375	0	0
NR_034315.1	94	37.4762	0	0
NR_034317.1	89	35.6104	0	0
XM_001119823.5	1765	1507.2	29	1.75718
XM_001119824.5	853	595.279	2063	316.495
XM_001119826.5	629	371.464	2230.98	548.488
XM_001119829.5	744	486.373	11	2.06543
XM_001119831.5	3337	3079.2	14.2688	0.423192
XM_001119847.5	2275	2017.2	130	5.8855
XM_001119855.5	2011	1753.2	719.466	37.4773
XM_001119858.5	1062	804.196	688	78.1294
XM_001119871.5	3542	3284.2	11.302	0.314277
XM_001119879.5	631	373.464	309	75.5609
XM_001119882.5	4002	3744.2	2.25005e-05	5.4881e-07
XM_001119883.4	963	705.196	747	96.7384
XM_001119884.5	1036	778.196	755.906	88.7088
XM_001119885.4	1045	787.196	1268	147.104
XM_001119891.5	702	444.393	221	45.4164
XM_001119897.5	681	423.412	58	12.5099
XM_001119898.5	1828	1570.2	297	17.2739
XM_001119899.5	641	383.464	109	25.9591
XM_001119900.5	755	497.373	528	96.9481
XM_001119904.4	2430	2172.2	47	1.976
XM_001119906.5	8283	8025.2	227.236	2.58589
XM_001119907.4	1311	1053.2	219	18.9899
XM_001119908.5	1654	1396.2	50	3.27048
XM_001119910.5	1974	1716.2	36	1.91568
XM_001119912.5	5482	5224.2	9.00042	0.157337
XM_001119914.5	757	499.373	22	4.02333
XM_001119915.5	3493	3235.2	285.042	8.04631
XM_001119916.4	1925	1667.2	751	41.1378
XM_001119919.3	831	573.279	290	46.1976
XM_001119921.5	1263	1005.2	175.656	15.9588
XM_001119928.5	1704	1446.2	155	9.78797
XM_001119929.5	1480	1222.2	36.365	2.71726
XM_001119931.5	5059	4801.2	1129.54	21.4853
XM_001119937.5	770	512.373	514.006	91.6157
XM_001119944.5	618	360.48	36.2142	9.17456
XM_001119946.4	685	427.412	0	0
XM_001119951.5	3716	3458.2	5456.54	144.097
XM_001119958.5	5134	4876.2	533.401	9.98988
XM_001119959.5	1800	1542.2	116.015	6.87009
XM_001119960.5	592	334.556	446.086	121.769
XM_001119962.5	7015	6757.2	3546.32	47.9292
XM_001119963.5	2819	2561.2	24	0.855769
XM_001119965.5	5047	4789.2	7.91619	0.150953
XM_001119967.5	1420	1162.2	15	1.17869
XM_001119971.5	2709	2451.2	127.736	4.75909
XM_001119973.4	1202	944.196	206	19.9248
XM_001119975.5	5073	4815.2	343.386	6.51264
XM_001119981.5	1804	1546.2	5351	316.052
XM_001119982.5	2172	1914.2	141	6.72699
XM_001119992.5	3683	3425.2	682.213	18.1896
XM_001119993.5	1507	1249.2	28.6948	2.09779
XM_001119995.5	3198	2940.2	269	8.35534
XM_001119998.5	847	589.279	226	35.0248
XM_001120000.5	1445	1187.2	130.43	10.0332
XM_001120006.5	968	710.196	1588	204.202
XM_001120007.5	1176	918.196	244	24.2685
XM_001120009.5	463	206.019	54.2006	24.0261
XM_001120011.5	901	643.253	1261	179.028
XM_001120012.5	606	348.527	252	66.0317
XM_001120014.5	520	262.692	86	29.8979
XM_001120018.3	1165	907.196	530.312	53.3849
XM_001120020.5	710	452.373	16	3.23006
XM_001120023.5	850	592.279	0	0
XM_001120025.5	1787	1529.2	1368	81.6979
XM_001120029.5	1124	866.196	0	0
XM_001120030.5	4837	4579.2	185.995	3.70938
XM_001120034.5	526	268.692	115	39.087
XM_001120035.5	8481	8223.2	61.0663	0.678186
XM_001120037.5	3466	3208.2	325	9.25146
XM_001120039.3	1429	1171.2	4	0.311902
XM_001120040.5	1690	1432.2	198	12.6256
XM_001120043.5	1480	1222.2	48	3.58664
XM_001120045.5	6002	5744.2	56.009	0.890464
XM_001120052.4	1152	894.196	0	0
XM_001120054.5	1031	773.196	99	11.6932
XM_001120056.5	514	256.714	434	154.393
XM_001120059.5	1102	844.196	189	20.4459
XM_001120061.5	6675	6417.2	88.2535	1.25596
XM_001120067.5	797	539.304	292	49.4467
XM_001120069.5	827	569.279	5277	846.545
XM_001120073.5	757	499.373	40.8446	7.46959
XM_001120083.5	1001	743.196	6.17838e-05	7.59206e-06
XM_001120086.4	952	694.196	284	37.3615
XM_001120089.5	2896	2638.2	331	11.458
XM_001120093.4	4140	3882.2	144.466	3.3984
XM_001120100.5	3017	2759.2	72	2.38308
XM_001120105.4	2519	2261.2	49.2199	1.98788
XM_001120110.5	896	638.253	20.7683	2.97164
XM_001120111.5	3287	3029.2	38.7825	1.16922
XM_001120112.5	1881	1623.2	9000	506.36
XM_001120114.5	2897	2639.2	5	0.173016
XM_001120116.5	1575	1317.2	313	21.7011
XM_001120132.5	635	377.464	129	31.2106
XM_001120134.5	1130	872.196	297	31.0978
XM_001120137.4	1141	883.196	4800	496.332
XM_001120140.5	897	639.253	13964	1994.92
XM_001120141.5	979	721.196	220.147	27.8771
