CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_000346	1315.000394	2545.99857633	1385.0000717099	3665.00055	2189.999194	1366.999940515	1335.00149	2196.00087	1964.99890483	1611.0018	2711.00044	1181.00061695
Caust.v2_000352	231	81	249	158	83	684	452	357	405	256	183	598
Caust.v2_000353	403	188	318	252	183	386	331	500	300	270	250	660
Caust.v2_000354	2700	5097	2301.999	6416.01	3219.99	3032.01	3125.01	3524.01	2724	2894.001	2553.999	5297.01
Caust.v2_000355	640	390	574	586	342	608	707	853	384	383	438	1177
Caust.v2_000356	10038	7750	7006	7336	7372	8989	2898	5399	10193	5242	8238	3846
Caust.v2_000357	1432	1755	1629	2255	1683	1489	1128	1423	1615	1237	1581	1265
Caust.v2_000358	530	480	389	741	472	341	367	531	438	402	552	437
Caust.v2_000359	7	4	6	16	6	5	4	10	21	10	12	2
Caust.v2_000360	1016	815	837	875	627	677	676	723	825	591	702	902
Caust.v2_000361	19	28	20	16	25	19	2	10	28	6	12	9
Caust.v2_000362	2	0	0	1	1	0	0	0	0	0	0	0
Caust.v2_000363	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_000364	37	16	18	25	24	18	19	27	29	15	23	25
Caust.v2_000365	0	0	1	1	0	0	1	0	0	0	0	0
Caust.v2_000366	14	13	13	14	8	12	1	3	13	6	6	2
Caust.v2_000367	3	3	1	5	6	1	2	3	4	2	2	1
Caust.v2_000369	17	21	49	52	33	7	16	9	7	23	15	11
Caust.v2_000370	99	70	69	101	67	66	21	32	116	28	45	21
Caust.v2_000371	2136	913	2932	1813	2199	4731	1906	2552	4596	2123	3442	2288
Caust.v2_000372	18	13	25	30	14	14	35	19	24	7	88	25
Caust.v2_000375	419.5	341	401.5	480.5	315.5	415	400	627.5	375	342.5	431	599
Caust.v2_000376	1123	899	880	1274	886	1017	1264	1624	756	748	850	2063
Caust.v2_000377	901	591	739	732	585	748	703	795	711	570	654	692
Caust.v2_000378	2020	1160	1627	1519	1274	1442	1496	1936	1429	1392	1319	1806
Caust.v2_000379	292	141	224	188	189	246	254	347	160	174	173	277
Caust.v2_000380	298	148	178	196	143	274	366	352	205	212	201	628
Caust.v2_000381	17	19	9	18	15	13	17	14	15	14	13	9
Caust.v2_000395	214	168	178	179	131	145	169	198	199	125	143	145
Caust.v2_000396	1247	1072	1047	1076	658	896	1044	1258	825	758	1003	1189
Caust.v2_000397	15	6	22	10	6	38	25	13	23	16	17	59
Caust.v2_000398	324	195	295	253	281	322	128	229	373	218	281	196
Caust.v2_000399	316	111	272	201	143	328	125	190	350	211	190	142
Caust.v2_000400	448	417	449	552	351	412	329	549	430	362	418	477
Caust.v2_000401	402	350	502	454	353	384	327	429	439	306	376	394
Caust.v2_000402	959	619	895	807	680	822	897	1044	679	702	744	1093
Caust.v2_000403	390	386	360	501	383	302	328	374	345	380	349	408
Caust.v2_000404	467	411	542	579	479	380	338	476	414	410	387	501
Caust.v2_000406	112	79	76	124	81	63	60	76	91	103	92	65
