CA_N_007	CA_N_012	CA_N_030	CA_P_013	CA_P_041	CA_P_055	CA_SL_019	CA_SL_048	CA_SL_056	CA_SM_029	CA_SM_039	CA_SM_049
Caust.v2_014189	1045	577	705	855	493	944	1334	1465	833	729	667	1880
Caust.v2_014190	64.0886	121.5796671	161.1782997	82.94627759	38.19008041	31.896106358	115.3978063	115.3856803	50.94175888	64.1658	95.4861614	63.807
Caust.v2_014192	106	73	88	63	88	69	121	129	88	83	62	155
Caust.v2_014195	5449	5825	6351	8436	7847	7582	4706	8069	7554	5725	9023	5081
Caust.v2_014196	2617.61	4343.93	2038.94	4234.89	3181.02	2879.56	1967.83	3164.31	2897.8	2267.76	3267.12	2118.71
Caust.v2_014198	2870.82	2459.83984	2304.64768	3287.11008	2180.62085	2490.2074	2715.20774	3425.2319	2795.11302	2366.67	2699.02293	3781.39
Caust.v2_014199	3183.99	2426	2754	3523	2314	2173	2278	3230	2628.98	2618	2496	2258
Caust.v2_014203	891	1009	1167	969	877	977	1013	1447	1280	937	909	1160
Caust.v2_014204	197.926000425065	195.4996	202	194.87	160.00000867377	158.1193	156.5	246.98270001	184.0647	144.673	171.5000902661	147
Caust.v2_014205	2075	1828	1734	2650	1416	1955	2178	2881	2329	2051	1959	2664
Caust.v2_014206	1283	4114	2416	5461	3969	1801	1385	2278	2563	2353	2333	1562
Caust.v2_014207	197.926000425065	195.4996	202	194.87	160.00000867377	158.1193	156.5	246.98270001	184.0647	144.673	171.5000902661	147
Caust.v2_014208	812	625	690	804	584	849	847	1073	719	660	703	767
Caust.v2_014209	436	383	365	394	270	473	234	420	379	295	328	331
Caust.v2_014211	52	34	57	35	37	61	31	49	62	33	49	33
Caust.v2_014212	219	162	176	193	108	143	141	196	72	125	161	197
Caust.v2_014218	67	44	31	76	56	57	31	36	55	45	52	54
Caust.v2_014220	54	31	26	57	26	39	16	41	30	54	45	27
Caust.v2_014224	25	19	3	27	16	17	13	14	12	23	26	15
Caust.v2_014229	10	2	5	21	5	3	2	5	5	5	4	12
Caust.v2_014232	76.6638	165.173	87.1496	119.407	102.219	20.3823	35.7551	69.3543	35.0716	52.7751	118.199	14.9857
Caust.v2_014233	738	464	663	535	555	686	540	684	590	470	480	722
Caust.v2_014235	3466	5588	4011	4337	3478	3826	2134	3022	3494	3612	4080	3752
Caust.v2_014236	1557	1216	1366	1670	1125	1233	1015	1514	1150	1457	1143	1153
Caust.v2_014237	3354	2611	3244	3263	2890	3016	2532	3257	3298	2664	3104	3009
Caust.v2_014238	13919	12112	15211	13379	10050	10881	9875	14456	10328	10759	10153	11228
Caust.v2_014239	1715	1451	1462	1504	1110	1743	942	1531	1388	1372	1343	1731
Caust.v2_014240	126	122	185	111	94	106	60	85	73	109	98	93
Caust.v2_014242	1306	2525	1051	2424	2217	909	661	1156	1958	971	1058	656
Caust.v2_014243	388	375	268	444	252	293	269	382	279	252	341	305
Caust.v2_014246	41	96	73	11	37	6	44	41	57	46	91	91
Caust.v2_014247	0	0	0	0	0	0	1	1	0	0	0	0
Caust.v2_014248	6	2	4	1	6	61	8	14	127	10	7	9
Caust.v2_014250	64	51	71	49	42	78	65	78	89	47	55	105
Caust.v2_014251	1765	1396	1238	1014	1080	1572	834	1293	2223	945	1350	1818
Caust.v2_014259	17	41	31	57	20	26	7	14	9	19	4	9
Caust.v2_014261	1703.61	3784.5	1506.9	3479.23	3115.35	1535.5	2461.55	2767.47	954.635	1872.38	1575.34	2225.84
Caust.v2_014262	0	56.5546	3.86475	20.1589	7.57227	1.91067	18.4969	13	9.50868	1.26282	36.5353	0
Caust.v2_014263	682.442	329.45	484.705	374.682	385.119	290.592	327.483	226.287	566.484	242.808	706.719	666.551
Caust.v2_014264	1455	1624	2153	1921	2389	1193	722	2316	1398	1272	2366	1417
Caust.v2_014265	125	69	61	93	68	97	86	55	73	155	87	116
Caust.v2_014267	4950.29	3248.4735	3881.9332	4216.9698	2678.3406	4887.8845	4148.48936	5212.1554	4050.78001	3927.9934	3284.88649	5270.54542
Caust.v2_014269	901	821	839	875	833	927	732	1095	898	759	599	973
Caust.v2_014270	1318	1792	1473	1914	782	1973	2823	2490	1658	2512	1330	3606
Caust.v2_014273	0	0	1	1	0	3	1	0	2	0	1	0
Caust.v2_014275	496	275	341	322	260	419	243	340	532	298	262	290
Caust.v2_014277	894	498	551	672	437	641	780	853	486	570	476	1144
Caust.v2_014278	735	690	680	926	730	658	849	941	741	591	853	1034
Caust.v2_014279	3727	2784	3090	3267	2595	2688	2360	2873	2777	2474	2851	2696
Caust.v2_014280	814.023	669.062	711.616	738.53	505.101	676.611	621.672	800.928	648.348	663.756	702.732	1058.29
Caust.v2_014286	97	60	61	83	58	79	95	126	82	78	64	153
Caust.v2_014287	0	465.37	2.71287	2.78406	579.479	0	0	0	813.736	659.94	0	715.18
Caust.v2_014288	2163.33	989.596	1396.32	1386.75	870.58	1730.07	2082.55	2536.09	1485.85	1491.92	984.302	2504.75
Caust.v2_014289	5847	3936	5116	4226	3694	4905	2570	3427	6199	4531	3555	3304
Caust.v2_014290	3553	2971	2706	3850	3022	2763	2218	3275	2604	2679	2920	3020
Caust.v2_014291	705	761	642	872	704	738	509	626	823	496	743	381
Caust.v2_014292	513	210	356	410	284	273	268	320	242	294	324	198
Caust.v2_014293	4536	3816	4313	4435	3192	4479	4245	5827	4211	3707	3786	4708
Caust.v2_014294	4026	3888	3389	4136	3274	3356	3562	4080	3203	2878	2956	3411
Caust.v2_014295	430	237	307	318	225	356	510	521	309	300	242	534
Caust.v2_014296	53.7088	44.3176	48.1202	41.4739	28.5347	39.1139	29.1826	48.1313	37.23	34.1222	29.4109	57.3853
Caust.v2_014297	1067.29	774.682	1132.88	1027.53	799.465	1015.89	952.817	1043.87	961.77	800.878	863.589	1297.61
Caust.v2_014298	1977	1483	1561	1908	1388	1668	1918	2344	1721	1415	1340	2447
Caust.v2_014299	30	3	6	7	5	5	15	6	24	6	13	6
Caust.v2_014300	1307	215	1389	512	674	1161	128	312	672	592	398	187
Caust.v2_014301	876.583	739.716	831.516	1015.18	720.805	755.43	812.844	1072.07	724.679	724.734	754.869	1080.74
Caust.v2_014302	3	11	12	28	19	1	4	1	40	1	3	6
Caust.v2_014303	11074	88575	5604	62709	93974	96991	64488	125930	229944	36540	119754	107705
Caust.v2_014304	122	2	18	15	11	116	22	33	198	22	135	101
Caust.v2_014305	1299.906	375	1068.999	1477.47	1947.999	759.999	441.999	631.947	1610.79	645	785.001	386.001
Caust.v2_014307	79	142	187	236	160	66	67	100	169	61	95	65
Caust.v2_014308	915	609.999	1394.001	1083	1301.001	903.999	165	390	879	485.001	771	269.0001
Caust.v2_014309	11.8777	4.64497	9.58254	15.3287	0	13.6646	6.80016	1.08951e-06	16.1561	0.429301	7.05873	14.0994
Caust.v2_014310	199	605	135	339	753	180	113	234	506	219	73	67
Caust.v2_014311	5913	3367	4773	4791	2892	7115	5500	7070	4984	4940	3719	9482
Caust.v2_014312	2019	1471	1616	1882	1188	2128	2136	2619	1605	1684	1663	2696
Caust.v2_014313	549.458	301.84	347.588	374.047	200.46	361.961	492.888	550.822	323.744	446.366	422.074	651.212
Caust.v2_014314	752	457	526	803	465	530	856	745	520	623	630	979
Caust.v2_014316	2382.999	3012.99	2379	3347.01	2223	2603.001	2678.001	3413.01	2733	2738.001	2817	3210.99
Caust.v2_014318	682	453	577	531	426	667	540	763	652	446	569	833
Caust.v2_014319	600	381	321	628	358	353	408	491	457	384	423	400
Caust.v2_014320	239	251	239	235	159	157	146	145	207	173	199	136
Caust.v2_014321	338	382	366	468	308	245	341	381	368	276	345	306
Caust.v2_014322	255	149	194	255	199	79	14	82	72	88	95	54
Caust.v2_014323	217	103	112	88	44	213	316	484	156	74	172	381
Caust.v2_014325	4408.665	3545.405	4066.685	4500.245	3034.42	4255.935	3533.455	5441.9	6061.15	5176.1	4052.7	5160.25
Caust.v2_014327	5026	4121	4456	5716	4791	4685	4768	6268	4691	4064	4507	6668
Caust.v2_014334	6342	20163	14416	33318	11461.3	16149	12620	23481	19133.1	21708.4	26436	10700
Caust.v2_014335	70	82	614	467.065	131	1268	235	92	841	144	713	122
Caust.v2_014336	1200	3331	7162	8791.93	3291.74	10497	3212	1626	12798.9	3209.59	8876	2279
Caust.v2_014337	39	40	28	33	19	24	16	32	32	24	17	23
Caust.v2_014338	933	440.286	0	630.212	0	0	590.121	182.168	357.6	591	0	710.294
Caust.v2_014339	672.501	357.999	535.5	446.499	347.001	591.999	742.5	822	459	509.001	411.999	903.999
Caust.v2_014340	1292	665	601	769	695	1934	4490	5510	959	886	792	7978
Caust.v2_014341	86	92	96.5	102.5	105	84.5	126	132.5	124	98.5	102.5	133
Caust.v2_014342	152	87.5	96	130.5	82	134	186	171.5	89	125.5	98	297.5
Caust.v2_014343	198.36	201.284	231.517	97.2	0	208.542	0	137.657	617.712	85.7832	0	405.517
Caust.v2_014344	423.111	229.152	333.733	354.955	183.079	266.556	636.671	499.331	232.222	267.918	395.66	378.523
Caust.v2_014345	327.951	0	394	171.542	344.5	379.962	535	273.671	188.971	96.5109	386	100.712
Caust.v2_014346	1494	1694	1399	1139.06	1618	712.042	952.959	2044	1268	1363.08	1946.51	2596.77
Caust.v2_014348	4	3	2	7	9	5	3	6	3	2	0	5
Caust.v2_014349	3839	3991	3977	6523	3617	4674	2788	6005	7305	4046	5265	2455
Caust.v2_014350	804	602	698	855	590	719	697	1013	507	784	529	1098
Caust.v2_014351	85.9777	62.7699	116.7829	61.5868	81.284	72.7758	26	67.9999	94.0138	72.531	87.3227	30.99999
Caust.v2_014364	107	38	70	55	21	95	19	78	40	63	45	61
Caust.v2_014366	33	9	14	15	11	21	18	36	15	28	12	23
Caust.v2_014368	3456	3096	4060	3941	3019	3842	4190	3825	3445	3351	4024	4180
Caust.v2_014369	283	100	134	151	104	757	93	91	626	68	69	68
Caust.v2_014370	43	20	34	44	26	62	50	45	25	38	19	24
Caust.v2_014371	2423	1495	2357	1711	1428	1929	1908	2157	1427	2071	1504	2085
Caust.v2_014372	756	1032	1017	1193.001	1118.001	633	627.999	654.999	621	740.001	693.999	669
Caust.v2_014373	5069	5903	5365	7294	5976	6992	7038	9236	6434	6498	6125	8583
Caust.v2_014374	225	214.432	181	325.95	298.516	150	160.511	157.073	226	179.788	173	138.599
Caust.v2_014376	2	0	0	1	0	1	0	0	0	0	5	1
Caust.v2_014379	153.962	77.4722	92.0398	132.474	105.588	135.506	20.1598	123.404	129.297	111.821	48.852	9.14388
Caust.v2_014383	319	376	445	555	507	276	163	484	251	333	498	169
Caust.v2_014384	237	428	392	569	275	281	370	496	225	319	293	520
Caust.v2_014385	461	226	326	239	163	612	827	1245	243	293	278	1366
Caust.v2_014386	610	1385	991	1812	932	671	530	887	647	939	952	795
Caust.v2_014389	736	896	525	1024	657	499	540	617	489	447	553	552
Caust.v2_014391	78.2966	40.7402	84.6263	64.5192	53.0273	30.8035	14.672	32.8304	35.0143	61.2042	29.7725	18.5396
Caust.v2_014399	0	0	0	0	0	8.68959	0	0	0	0	0	0
Caust.v2_014402	496.286	216.944	420	202.408	260	431	81.5	469	444	147.6	254.545	455.824
Caust.v2_014403	1	9	12	14	3	13	7	12	16	7	2	6
Caust.v2_014404	448.757	385.536	495.991	891.929	456.059	89.087	172.69	373.364	1170.5	220.951	334.517	238.407
Caust.v2_014406	57.0000000197474	36	37	36.99998	30	33.00003	23	21.99996	24.99999	27	29	15
Caust.v2_014412	5	4	4	0	1	3	2	2	3	2	1	0
Caust.v2_014418	3	0	0	4	2	0	4	0	1	5	3	2
Caust.v2_014419	129.775	241.463	215.73	267.357	63.0465	76.0708	79.47	157.874	73.8504	73.1895	79.6501	122.471
Caust.v2_014420	711	346	245	508	264	281	278	397	434	415	364	475
Caust.v2_014421	31	11	6	25	12	7	17	10	20	25	9	11
Caust.v2_014422	23	16	8	22	6	10	10	12	22	15	17	13
Caust.v2_014423	1	1	1	2	0	0	3	1	2	1	0	2
Caust.v2_014424	488	198.24	559	207.273	126.483	507	716	288.47	402	272.453	219.458	1231
Caust.v2_014425	1304.33	728.146	1000.3	2178	1429	2085	0	1542.44	898.947	1845	1764	2940
Caust.v2_014426	813.229	1039.51	625.53	824.876	213.776	179.158	332.782	339.316	670.739	532.705	1552.81	372.029
Caust.v2_014427	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_014428	5.65588	1.15419	13	3.52147	10	17	3	4.08148	29	6.78896	5	10
Caust.v2_014429	15625.5	12799	16648.6	11639.3	8691.63	21307.7	2801.44	6859.71	22741.3	14024.8	9864.48	4007.7
Caust.v2_014430	2776.54	2504.04	3196.38	2097.75	1658.37	3409.29	815.564	1537.29	3570.7	2554.16	1719.52	898.303
Caust.v2_014431	3839	2416	3620	2052	1719	4774	562	1483	4820	2961	1927	858
Caust.v2_014432	1619	1072	1279	1320	957	1525	1579	1951	1365	1178	1236	2083
Caust.v2_014433	32	13	25	16	23	38	15	32	24	54	35	6
Caust.v2_014436	972	313	443	580	462	493	461	650	437	677	456	747
Caust.v2_014438	39	8	46	29	12	22	39	28	24	24	36	39
Caust.v2_014443	1	1	2	2	7	3	1	1	4	3	3	1
Caust.v2_014444	1	0	4	0	0	0	0	3	2	3	0	2
Caust.v2_014446	6	8	5	5	7	8	1	13	6	4	8	5
Caust.v2_014447	757	418	633	530	462	757	765	915	568	531	538	1074
Caust.v2_014448	1399	1240	1373	1230	1311	1399	1401	1668	1293	1128	1176	1769
Caust.v2_014450	360	242	296	195	186	279	221	197	278	251	276	206
Caust.v2_014453	182	69	277	264	201	202	115	107	131	156	189	169
Caust.v2_014455	104.311	120.141	100.007	169.115	102.789	166.727	64.6867	110.182	129.759	91.3118	143.765	53.4993
Caust.v2_014456	396	278	375	321	247	348	450	497	284	338	334	509
Caust.v2_014457	459	646	597	716	573	470	447	451	559	476	602	530
Caust.v2_014458	2881	4473	3030	4166	4040	4242	4217	6275	4707	3109	4689	6506
Caust.v2_014459	1771	1309	1777	1603	1356	1927	2052	2601	1742	1331	1555	3301
Caust.v2_014460	976	530	692	671	431	799	960	1116	529	605	772	1714
Caust.v2_014462	501	880	595	723	747	601	400	794	717	715	695	838
Caust.v2_014463	306	122	238	241	97	296	778	672	172	203	185	1305
Caust.v2_014465	4	4	5	1	1	7	0	1	3	1	15	0
Caust.v2_014467	0	1	3	3	6	0	0	4	1	1	1	0
Caust.v2_014471	300	450	273	434	302	241	247	307	311	277	312	231
Caust.v2_014473	173	246	203	261	201	145	94	155	163	153	193	124
Caust.v2_014474	6	9	13	11	6	7	15	12	13	11	17	5
Caust.v2_014476	45.1278	78.7743	56.0395	538.352	164.758	40.2777	106.596	76.8471	117.645	112.02	45.9029	27.1573
Caust.v2_014480	0	109.354	19.2312	153.777	43.094	4.2528	3.84125	11.1673	32.4147	11.0834	43.406	0
Caust.v2_014481	8	7	1	5	4	5	0	6	3	1	5	3
Caust.v2_014482	165	86	65	183	77	74	105	200	125	137	76	149
Caust.v2_014485	24	4	11	6	6	6	19	10	17	19	11	17
Caust.v2_014486	267	148	215	210	189	248	216	309	151	149	154	299
Caust.v2_014487	8.49053	11.1273	5.50118	71.6425	22.4029	12.1815	11.504	21.6799	0	10.9094	16.2913	2.96813
Caust.v2_014488	771.814	521.5	651.5	672	493.5	649.5	652.5	350.788	531.5	706	539	793.5
Caust.v2_014489	1075	775	1079	971	897	1036	965	1117	925	736	653	1212
Caust.v2_014490	416	285	306	373	206	300	439	508	267	304	296	512
Caust.v2_014491	9262	6632	6959	9442	5696	7445	7440	10412	6328	7626	7346	10602
Caust.v2_014492	6487.5	5505	6466.5	5406	4951	5236	3939.5	5698.5	4965	4316	4663	5326
Caust.v2_014494	74.4855	2.79371	16.2045	0	0	21.5104	173.425	82.4058	0	8.04262	0	14.7398
Caust.v2_014495	190	125	168	239	120	229	171	271	204	150	123	225
Caust.v2_014496	18	35	21	22	24	13	14	12	10	31	10	343
Caust.v2_014497	11	37	11	31	15	8	13	14	9	15	7	457
Caust.v2_014498	1069	1233	983	898	948	921	1083	1643	805	876	960	1132
Caust.v2_014499	697.9986	562.0003	729.0007	492	463.9991	677.0009	663.999	720.0012	563.9997	539.0015	611.9999	648
Caust.v2_014500	2432.63	6170.03	2886.15	4620.81	4507.7	2384.74	2236.39	3113.89	2825.56	2574	3317.45	3178.09
Caust.v2_014501	1	3	3	0	0	8	1	1	6	2	2	2
Caust.v2_014502	1421	1205	1490	1417	1201	1374	1265	1393	1413	1184	1102	1720
Caust.v2_014503	1576	4011	1326	6461	4731	1850	2102	2070	1807	2075	3381	2862
Caust.v2_014505	18	2	13	15	4	10	6	5	8	8	16	18
Caust.v2_014507	575.0003	591.0002	465.0002	696.9998	547.9999	430.9998	544.0001	719.999	549.9998	428.0003	537.0001	666.0003
Caust.v2_014508	617	396	532	449	468	517	632	620	495	418	404	613
Caust.v2_014518	402	647	278	382	306	459	226	197	397	301	312	197
Caust.v2_014519	680	558	607	674	488	518	598	627	560	527	580	764
Caust.v2_014520	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_014521	0	2.84581	0	0	0	0	0	0	0	0	1	0
Caust.v2_014523	275	235	289	257	282	291	220	373	294	231	265	344
Caust.v2_014524	1475.9992	1192.9998	1491	1404.0004	1129.00049	1381.00047	1424	1467.99955	1281	1159.00054	1068.00005	2481
Caust.v2_014525	1	2	2	0	1	1	6	1	1	2	0	0
Caust.v2_014526	31	15	10	24	12	16	12	13	41	18	19	28
Caust.v2_014527	278.6088	206.2122	222.355	266.0203	187.08283	244.7556	215.6585	298.3057	226.5704	272.39524	217.8465	546.93581
Caust.v2_014534	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_014537	3	0	0	0	1	0	0	0	1	0	0	0
Caust.v2_014539	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_014543	0	0	0.5	0	0	0	0	0.5	0	0	0	0
Caust.v2_014545	175	89	159	71	117	67	39	68	115	36	16	34
Caust.v2_014547	354.81	250.781	536.65	371.4	385.762	205.495	103.228	172.955	311.836	188.385	283.29	100.145
Caust.v2_014549	68.5	24.5	48.5	42	59	16	25.5	26	53	27	54.5	40.5
Caust.v2_014550	29.0909	0	10.6667	10.4	12.1429	0	1.33333	4.75	2.75	12	22.0909	0
Caust.v2_014551	0	1	1	2	0	2	0	1	1	0	3	0
Caust.v2_014552	3427.78	1299.042	3794.3	1258.546	1275.754	5075.58	1329.6	1941.47	7891.22	1501.518	3907.02	1634.742
Caust.v2_014557	1	3	2	0	1	0	0	2	0	0	2	0
Caust.v2_014559	26	154	52	99	47	561	2	13	673	19	27	11
Caust.v2_014561	3	6	1	16	2	89	0	0	137	0	1	0
Caust.v2_014562	4.10244	4	2	2	3.63716	0	0	0	0	0	0	0
Caust.v2_014563	1.41035	1.15671	0	0	0.801015	3.30402	0	0	0	0	0	1.12487
Caust.v2_014565	23.8796	8.12586	17.3703	16.9897	0	41.1931	2.21795	4	0	4.14247	13.7734	9.0793
Caust.v2_014567	6811	3286	4523	5866	2684	6039	5454	7840	4443	6570	4808	7031
Caust.v2_014568	124	134	114	219	111	122	99	116	114	109	108	117
Caust.v2_014569	940.011	666.693	823.857	991.038	567.171	779.322	952.716	1192.497	837.255	984.975	717.135	1117.383
Caust.v2_014570	890	672	674	767	540	785	1060	1077	668	699	763	1420
Caust.v2_014571	1766.99	2013.31	1879.14	2228.96	1805.83	1795.68	1899.28	2562.5	1999.74	1486.03	1936.86	2118.62
Caust.v2_014576	25	15	17	39	30	16	6	16	31	14	21	4
Caust.v2_014577	730	1845	50	174	268	45	23	140	124	81	99	131
Caust.v2_014578	5289	9058	5050	6643	5392	3957	3774	3633	5435	4690	5582	6007
Caust.v2_014581	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_014582	14	7	8	10	7	8	2	5	9	7	6	7
Caust.v2_014585	0	0	0	1	0	1	0	1	0	0	0	0
Caust.v2_014590	4	9	3	9	3.01286	7	5	5	3	4	2	0
Caust.v2_014592	43	21	40	36	18	92	131	121	35	60	37	111
Caust.v2_014593	3673	2754	3492	3007	2619	4038	2711	3846	4101	2775	2914	3974
Caust.v2_014594	312	167	269	217	205	260	298	329	211	213	215	387
Caust.v2_014595	2746	1964	2636	2704	2166	2694	3018	3269	2104	2317	2235	3788
Caust.v2_014596	623	505	603	526	377	553	608	741	518	428	510	830
Caust.v2_014597	1557.0021	1453.0023	1317	1574.99736629	1164.005	1420.004	1276.9972	1645.998	1172.996497	1433.004	1140.0012	1640.9958
Caust.v2_014600	9	4	7	17	4	21	4	16	11	16	9	8
Caust.v2_014601	1	0	1	2	1	0	3	1	0	5	1	1
Caust.v2_014603	998	787	793	953	587	807	639	777	731	663	733	524
Caust.v2_014605	1188	840	809	857	633	1196	1300	1055	970	758	878	2236
Caust.v2_014615	655	573	703	793	833	908	236	394	1287	490	652	285
Caust.v2_014616	200	75	32	90	62	59	173	174	115	86	79	156
Caust.v2_014617	69	50	28	39	37	69	39	56	20	37	38	54
Caust.v2_014618	672	397	515	678	333	833	1271	1069	365	709	530	2121
Caust.v2_014619	48	45	57	57	32	44	110	47	29	39	53	65
Caust.v2_014620	20	29	30	25	17	25	8	27	13	39	27	22
Caust.v2_014625	445	413	363	500	769	573	164	279	815	338	424	179
Caust.v2_014626	1	3	2	0	0	0	1	1	3	3	0	1
Caust.v2_014628	6	0	1	1	0	1	0	2	4	0	3	0
Caust.v2_014629	149	184	148	190.663	130	154	102	150	172	122.4134	140	179
Caust.v2_014630	1282	1060	922	1464	931	963	1136	1526	1054	848	968	1486
Caust.v2_014631	523.087	357.134	471.776	494.505	269.523	331.78	395.02	787.427	388.577	468.481	349.009	595.023
Caust.v2_014632	417.315	299.503	369.475	503.553	315.55	274	429	309.766	335	337.106	333.341	421.149
Caust.v2_014633	395	305	434	341	225	349	441	418	372	271	315	455
Caust.v2_014634	907	745	792	1034	703	787	1078	1094	599	752	729	943
Caust.v2_014635	1973	4467	2629	4952	3046	2718	2300	2877	4237	2737	4643	3311
Caust.v2_014636	22	16	19.3101	19	21	19	4	10	32.3242	12	10	5
Caust.v2_014638	6	2	4	4	7	6	1	3	7	2	7	7
Caust.v2_014639	570.746	333.642	624	840	227.948	1059	927.963	1654	444.292	719.026	458.714	1276.83
Caust.v2_014640	1121	1284	956	1962	1205	1365	1099	1655	1363	952	1443	1499
Caust.v2_014641	175	116	181	223	121	238	301	349	202	220	164	392
Caust.v2_014642	2674	2275	2541	3077	2178	2407	3169	3493	2140	2233	2247	3599
Caust.v2_014649	1	8	3	10	11	17.5089	3	1	19	6	2	4
Caust.v2_014653	22	32	27	26	17	23	11	23	24	15	16	8
Caust.v2_014654	2	3	3	2	12	27	7	4	17	3	0	8
Caust.v2_014655	29	65	52	100	50	34	21	21	171	74	108	32
Caust.v2_014662	34.5589	16.325	23	25.3882	18.2137	17	25.5338	43.3857	41.1314	32.1463	27	48.6216
Caust.v2_014663	1899	1467	1750	1802	1192	1549	1818	2235	1400	1385	1343	2076
Caust.v2_014664	242	344	250	192	138	145	134	202	154	115	158	147
Caust.v2_014666	19	2	17	2	5	8	5	11	3	4	11	5
Caust.v2_014668	72.0901	30.0755	62.7823	45.3922	82.0797	37.4821	54.1318	88.7732	59.2291	54.8141	21.7696	35.5096
Caust.v2_014670	32.9562	57.9861	96.9395	88.6935	149.816	76.4359	32.0966	47.9962	107.142	28.8864	69.0441	90.4851
Caust.v2_014675	806	337	315	642	356	327	326	563	436	474	478	327
Caust.v2_014679	1474	1017	964	1314	890	940	938	1098	985	1008	1082	986
Caust.v2_014680	1	3	3	1	2	5	3	6	9	2	2	1
Caust.v2_014681	18	34	22	23	30	31	39	28	14	15	13	30
Caust.v2_014684	44	22	32	30	19	23	39	28	29	13	19	29
Caust.v2_014685	1906	2437	1506	2900	2162	1384	1251	2263	2520	2046	2844	1225
Caust.v2_014688	89	105	70	98	98	65	39	71.9271	103.907	71.7675	93.9798	54
Caust.v2_014689	58	69	48	68	65	24	27	62	72	41	76	37
Caust.v2_014692	37	89	29	64	57	41	34	19	71	42	70	10
Caust.v2_014695	16	30	8	11	16	14	4	8	27	13	10	12
Caust.v2_014697	38	9	13	28	7	32	1	2	7	3	6	12
Caust.v2_014698	6	9	25	15	8	11	4	4	15	6	32	7
Caust.v2_014699	19.0283	89.1709	24.0478	126.074	18.6615	43.5145	43.1309	11.0199	108.114	60.0796	32.0109	26
Caust.v2_014702	2172	1535	1664	1569	1115	1848	492	544	3398	1046	1563	641
Caust.v2_014703	13	89	23	41	24	2287	22	48	1127	44	27	15
Caust.v2_014704	7	20.00002	12	28.99997	19.00002	259	1.00000046541	12	272.9998	12	23.00003	46
Caust.v2_014708	34	15	13	23	11	13	14	30	20	28	21	12
Caust.v2_014714	0	1	5	7	7	5	4	7	2	1	5	1
Caust.v2_014715	22	12	12	31	13	13	15	11	15	17	16	21
Caust.v2_014717	748	552	426	1148	375	498	459	791	568	436	549	714
Caust.v2_014718	129	76	162	57	51	114	75	104	58	85	83	50
Caust.v2_014719	47	17	61	22	24	55	38	29	31	40	21	33
Caust.v2_014721	1	0	2	5	1	2	1	0	0	2	0	2
Caust.v2_014730	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_014731	1	0	1	0	3	2	1	3	2	1	0	1
Caust.v2_014734	2865	2347	2553	2530	1703	2535	499	1268	3119	1924	1812	714
Caust.v2_014735	176	138	126	196	140	94	172	167	168	113	117	159
Caust.v2_014738	79	148	82	424	459	194	34	144	307	351	346	153
Caust.v2_014739	0	0	0	9	2	1	0	7	3	4	2	1
Caust.v2_014740	798.821	646.705	828.956	1071.17	966.083	557.404	607.918	733.523	821.086	483.743	957.124	742.51
Caust.v2_014741	0	1	4	5	5	5	5	1	0	4	3	3
Caust.v2_014742	2	0	1	1	1	0	0	0	1	0	0	0
Caust.v2_014743	980.209	503.425	520.895	337.383	665.072	622.29	113.1	191.236	409.507	371.298	634.497	74.9384
Caust.v2_014745	56.3002	0	98.2708	95.6321	141.034	67.6602	26.6089	98.7216	95.1256	40.5718	88.1657	15.2881
Caust.v2_014746	0	5	0	0	2	5	2	2	4.99982	11	4.99987	3
Caust.v2_014749	7.85541	3.61833	7.03917	12.7795	7.34402	12.7253	4.01299	20.1509	28.2202	7.59858	31.4944	15.2423
Caust.v2_014750	19	19	22	30	19	19.0513	16	12	35	21	16	31
Caust.v2_014755	0	0	0	1	1	0	1	2	1	0	3	9
Caust.v2_014757	3	6	4	4	1	6.94873	2	2	7	3	4	2
Caust.v2_014758	11	40	11	46	22	16	7	16	12	4	7	19
Caust.v2_014762	0	0	1	1	1	0	2	1	0	0	0	0
Caust.v2_014763	51	56	33	47	9	86	40	19	108	34	31	15
Caust.v2_014766	3779	83701	17729	115455	80171	27504	35089	84296	59216	71047	88421	47693
Caust.v2_014767	42.8901	60	83.1355	65	49.5871	69.1361	39	62	93	80.2727	23.9391	27
Caust.v2_014768	1354	733	1010	1154	831	1051	1035	1166	846	916	811	1168
Caust.v2_014769	18	21	21	14	26	33	24	17	24	8	30	12
Caust.v2_014770	59	67	91	96	69	83	119.083	69	62	105.769	98	60
Caust.v2_014771	1745	1471	1638	1460	1348	1500	963	1165	1764	1331	1486	1260
Caust.v2_014772	2	11	6	4	3	3	3	6	6	3	7	3
Caust.v2_014773	948	418	540	719	304	565	682	938	423	599	619	1128
Caust.v2_014774	1500	890	965	1197	696	1008	960	1315	894	982	968	1733
Caust.v2_014776	591.596	437.194	612.3	661.022	560.364	737.956	818.534	752.61	782.638	571.75	717.7	816.372
Caust.v2_014777	3125.73	3251.63	2962.14	4064.61	2657.4	3168.32	3423.14	4613	3346.22	3114.72	3465.99	5145.34
